Genre,Film Link
action,/film/everything-everywhere-all-at-once/
action,/film/spider-man-into-the-spider-verse/
action,/film/the-dark-knight/
action,/film/inception/
action,/film/spider-man-across-the-spider-verse/
action,/film/spider-man-no-way-home/
action,/film/avengers-infinity-war/
action,/film/baby-driver/
action,/film/avengers-endgame/
action,/film/kill-bill-vol-1/
action,/film/scott-pilgrim-vs-the-world/
action,/film/the-matrix/
action,/film/guardians-of-the-galaxy/
action,/film/black-panther/
action,/film/the-lord-of-the-rings-the-fellowship-of-the-ring/
action,/film/mad-max-fury-road/
action,/film/star-wars/
action,/film/avatar-the-way-of-water/
action,/film/guardians-of-the-galaxy-vol-3/
action,/film/spider-man-homecoming/
action,/film/top-gun-maverick/
action,/film/deadpool/
action,/film/thor-ragnarok/
action,/film/bullet-train/
action,/film/1917/
action,/film/avatar/
action,/film/doctor-strange-in-the-multiverse-of-madness/
action,/film/spider-man-far-from-home/
action,/film/the-avengers-2012/
action,/film/dunkirk-2017/
action,/film/the-empire-strikes-back/
action,/film/spider-man/
action,/film/tenet/
action,/film/the-lord-of-the-rings-the-return-of-the-king/
action,/film/the-incredibles/
action,/film/guardians-of-the-galaxy-vol-2/
action,/film/iron-man-2008/
action,/film/the-hunger-games-the-ballad-of-songbirds-snakes/
action,/film/the-lord-of-the-rings-the-two-towers/
action,/film/captain-america-civil-war/
action,/film/the-dark-knight-rises/
action,/film/doctor-strange-2016/
action,/film/spider-man-2/
action,/film/oldboy/
action,/film/john-wick/
action,/film/the-hunger-games-catching-fire/
action,/film/batman-begins/
action,/film/star-wars-the-force-awakens/
action,/film/captain-america-the-winter-soldier/
action,/film/star-wars-episode-iii-revenge-of-the-sith/
action,/film/return-of-the-jedi/
action,/film/avengers-age-of-ultron/
action,/film/thor-love-and-thunder/
action,/film/the-suicide-squad/
action,/film/star-wars-the-last-jedi/
action,/film/star-wars-episode-i-the-phantom-menace/
action,/film/scarface-1983/
action,/film/leon-the-professional/
action,/film/black-widow-2021/
action,/film/shang-chi-and-the-legend-of-the-ten-rings/
action,/film/captain-marvel/
action,/film/kill-bill-vol-2/
action,/film/pirates-of-the-caribbean-the-curse-of-the-black-pearl/
action,/film/rogue-one-a-star-wars-story/
action,/film/the-nice-guys/
action,/film/the-amazing-spider-man/
action,/film/logan-2017/
action,/film/ant-man/
action,/film/captain-america-the-first-avenger/
action,/film/black-panther-wakanda-forever/
action,/film/deadpool-2/
action,/film/raiders-of-the-lost-ark/
action,/film/star-wars-the-rise-of-skywalker/
action,/film/star-wars-episode-ii-attack-of-the-clones/
action,/film/gladiator-2000/
action,/film/incredibles-2/
action,/film/the-northman/
action,/film/iron-man-3/
action,/film/suicide-squad-2016/
action,/film/spider-man-3/
action,/film/iron-man-2/
